PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
11 315455 BLD,SFD - Detached,"400 BALLIOL ST   Toronto, Ontario, Canada",Toronto,Canada,2011-11-24,2014-01-20,2018-08-20,Closed,"Proposal to construct new two-storey single family detached dwelling (200.9m2), with a detached garage at rear.  Also see related demolition permit 11-315469 DEM.",Vacant,Sfd - Detached,1,0,"300,000",0,200.9
12 149001 BLD,SFD - Detached,"7 ATKINSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-04-04,2012-06-15,2018-09-11,Closed,construct new 2 storey house,Vacant,Sfd,1,0,"300,000",0,167.22
12 170044 BLD,SFD - Detached,"11 MARTIN GROVE RD   Toronto, Ontario, Canada",Toronto,Canada,2012-05-09,2012-07-09,2018-06-14,Closed,Proposal to construct new two storey detached dwelling.,Vacant,Sfd-Detached,1,0,"300,000",0,355
12 174687 BLD,SFD - Detached,"206 CONLINS RD   Toronto, Ontario, Canada",Toronto,Canada,2012-05-16,2013-12-04,2018-02-14,Closed,New single family dwelling,Sfd,Sfd,1,0,"300,000",0,284
12 174690 BLD,SFD - Detached,"206 CONLINS RD   Toronto, Ontario, Canada",Toronto,Canada,2012-05-16,2013-12-24,2018-02-15,Closed,New single family dwelling,Sfd,Sfd,1,0,"300,000",0,284
12 224194 BLD,SFD - Detached,"14 BATAVIA AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-08-03,2012-11-13,2018-06-12,Closed,Proposal to construct new two storey detached dwelling with detached garage.,Vacant,Sfd-Detached,1,0,"300,000",0,227.24
13 123056 BLD,SFD - Detached,"641 ROYAL YORK RD   Toronto, Ontario, Canada",Toronto,Canada,2013-02-21,2013-08-06,2018-01-30,Closed,Proposal to construct new 3 storey detached sfd with integral garage - Part 2 (north lot - #647),Vacant Land,3 Storey Detached Sfd,1,0,"300,000",0,199.4
13 161194 BLD,SFD - Detached,"432 CLENDENAN AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-05-02,2013-07-03,2018-06-27,Closed,Proposal to construct a new 2 storey sfd-detached,Vacant,Sfd-Detached,1,0,"300,000",0,165
14 122765 BLD,SFD - Detached,"52 THIRTY EIGHTH ST   Toronto, Ontario, Canada",Toronto,Canada,2014-02-27,2014-07-28,2018-06-05,Closed,"Proposal to sever lot and construct new 2 storey detached sfd - Part 1(replacement dwelling)
Refer to ZZC 12-259118,  COA Decision A165/EYK {B19/EYK}, related BLD 14-122766 (Part 2) and DEM 14-122763",Vacant,Sfd-Detached,1,0,"300,000",0,199.79
14 122766 BLD,SFD - Detached,"52 THIRTY EIGHTH ST   Toronto, Ontario, Canada",Toronto,Canada,2014-02-27,2014-07-28,2018-06-05,Closed,"Proposal to sever lot and construct new 2 storey detached sfd - Part 2 (dwelling on conveyed lot)
Refer to ZZC 12-259126,  COA Decision A166/EYK {B19/EYK}, related BLD 14-122765 (Part 2) and DEM 14-122763",Vacant,Sfd-Detached,1,0,"300,000",0,199.79
14 164248 BLD,SFD - Detached,"198 CLANTON PARK RD   Toronto, Ontario, Canada",Toronto,Canada,2014-05-29,2014-08-25,2018-09-28,Closed,Construct a new two storey single family dwelling with intergal garage,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,365.8
14 164271 BLD,SFD - Detached,"200 CLANTON PARK RD   Toronto, Ontario, Canada",Toronto,Canada,2014-05-29,2014-08-25,2018-06-26,Closed,,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,365.8
14 192380 BLD,SFD - Detached,"55 GREEN LANES     Toronto, Ontario, Canada",Toronto,Canada,2014-07-17,2014-07-31,2018-11-15,Closed,Proposal to construct new two storey single family detached dwelling with detached garage on conveyed lot. (Part 2),Conveyed Lot,Sfd-Detached,1,0,"300,000",0,147.17
14 207413 BLD,SFD - Detached,"28 BLAKETON RD   Toronto, Ontario, Canada",Toronto,Canada,2014-08-15,2014-09-15,2018-11-21,Closed,To construct new 2 storey single family detached dwelling with rear parking pad. Existing  rear detached garage to be demolished.,Single Family Dwelling,Single Family Dwelling,1,0,"300,000",0,346.5
15 119019 BLD,SFD - Detached,"59 HAREWOOD AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-02-19,2016-04-11,2018-09-19,Closed,"To construct a new 308m2, 2 storey - single family detached dwelling complete with integral garage plus covered porch at rear.  Existing dwelling to be demolished.",Sfd,Sfd,1,0,"300,000",0,308
15 148798 BLD,SFD - Detached,"276 INGLEWOOD DR   Toronto, Ontario, Canada",Toronto,Canada,2015-04-29,2015-06-22,2018-02-06,Closed,Proposal for a new two storey detached single family dwelling with integral garage at grade ,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,278.29
15 159017 BLD,SFD - Detached,"66 CLAVER AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-05-19,2015-08-26,2018-08-28,Closed,New two storey dwelling with attached garage. More then 50 % of dwelling ,Sfd,Sfd,1,0,"300,000",0,362
15 265259 BLD,SFD - Detached,"51 MACDONALD ST   Toronto, Ontario, Canada",Toronto,Canada,2015-12-15,2016-05-18,2018-05-22,Closed,Proposed 2 storey SFD with integrated garage and finished basement.,Sfd,Sfd,1,0,"300,000",0,197.79
15 268099 BLD,SFD - Detached,"51 MACDONALD ST   Toronto, Ontario, Canada",Toronto,Canada,2015-12-22,2016-05-18,2018-05-22,Closed,Proposed 2 SFD with finished basement and integrated garage.,Sfd,Sfd,1,0,"300,000",0,197.79
16 112676 BLD,SFD - Detached,"175 RALEIGH AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-02-04,2016-04-08,2018-08-17,Closed,Proposed demolition of existing 1 storey SFD to be replaced by new 2 storey SFD with finished basement and integrated garage.,Sfd,Sfd,1,0,"300,000",0,222.4
16 116451 BLD,SFD - Detached,"10 MINTO ST   Toronto, Ontario, Canada",Toronto,Canada,2016-02-12,2016-03-03,2018-04-12,Closed,Proposal to construct a new three storey single family dwelling ,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,183.3
16 118491 BLD,SFD - Detached,"61 DELROY DR   Toronto, Ontario, Canada",Toronto,Canada,2016-02-19,2016-03-07,2018-09-10,Closed,Proposal to construct a new 2-storey detached dwelling with integral garage.,Single-Family Detached House,New Single-Family Detached House,1,0,"300,000",0,307
16 128539 BLD,SFD - Detached,"144 BATHGATE DR   Toronto, Ontario, Canada",Toronto,Canada,2016-03-16,2016-04-14,2018-03-28,Closed,Proposal to construct an new two storey detached dwelling with integral garage ,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,281.87
16 129317 BLD,SFD - Detached,"438 BROADWAY AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-03-17,2016-06-02,2018-02-22,Closed,Construct new two storey sfd-detached (277.78m2) w/ finished basement (105.44m2),Sfd-Detached,Sfd-Detached,1,0,"300,000",0,277.78
16 129523 BLD,SFD - Detached,"314 WHITMORE AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-03-18,2016-06-10,2018-07-30,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"300,000",0,274
